Characteristic value was written successfully,Physical Pressure,Physical Temp
Notification handle = 0x000e value: e5 22 03 81 01 00 59 01 ,985.63,34.5
Notification handle = 0x000e value: 24 23 01 81 01 00 59 01 ,985.61,34.5
Notification handle = 0x000e value: 62 23 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: a1 23 06 81 01 00 59 01 ,985.66,34.5
Notification handle = 0x000e value: df 23 01 81 01 00 59 01 ,985.61,34.5
Notification handle = 0x000e value: 1e 24 01 81 01 00 59 01 ,985.61,34.5
Notification handle = 0x000e value: 5c 24 07 81 01 00 59 01 ,985.67,34.5
Notification handle = 0x000e value: 9b 24 03 81 01 00 59 01 ,985.63,34.5
Notification handle = 0x000e value: d9 24 04 81 01 00 59 01 ,985.64,34.5
Notification handle = 0x000e value: 18 25 06 81 01 00 59 01 ,985.66,34.5
Notification handle = 0x000e value: 56 25 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 95 25 04 81 01 00 59 01 ,985.64,34.5
Notification handle = 0x000e value: d3 25 07 81 01 00 59 01 ,985.67,34.5
Notification handle = 0x000e value: 12 26 04 81 01 00 59 01 ,985.64,34.5
Notification handle = 0x000e value: 50 26 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 8f 26 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: cd 26 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 0c 27 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 4a 27 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 89 27 03 81 01 00 59 01 ,985.63,34.5
Notification handle = 0x000e value: c7 27 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 06 28 09 81 01 00 59 01 ,985.69,34.5
Notification handle = 0x000e value: 44 28 06 81 01 00 59 01 ,985.66,34.5
Notification handle = 0x000e value: 83 28 ff 80 01 00 59 01 ,985.59,34.5
Notification handle = 0x000e value: c1 28 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 00 29 0b 81 01 00 59 01 ,985.71,34.5
Notification handle = 0x000e value: 3e 29 06 81 01 00 59 01 ,985.66,34.5
Notification handle = 0x000e value: 7d 29 07 81 01 00 59 01 ,985.67,34.5
Notification handle = 0x000e value: bb 29 07 81 01 00 59 01 ,985.67,34.5
Notification handle = 0x000e value: fa 29 03 81 01 00 59 01 ,985.63,34.5
Notification handle = 0x000e value: 38 2a 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 77 2a 04 81 01 00 59 01 ,985.64,34.5
Notification handle = 0x000e value: b5 2a 03 81 01 00 59 01 ,985.63,34.5
Notification handle = 0x000e value: f4 2a 01 81 01 00 59 01 ,985.61,34.5
Notification handle = 0x000e value: 32 2b 05 81 01 00 59 01 ,985.65,34.5
Notification handle = 0x000e value: 71 2b 04 81 01 00 59 01 ,985.64,34.5
Notification handle = 0x000e value: af 2b 05 81 01 00 58 01 ,985.65,34.4
Notification handle = 0x000e value: ee 2b 06 81 01 00 58 01 ,985.66,34.4
Notification handle = 0x000e value: 2c 2c 09 81 01 00 59 01 ,985.69,34.5
Notification handle = 0x000e value: 6b 2c 05 81 01 00 58 01 ,985.65,34.4
Notification handle = 0x000e value: a9 2c 06 81 01 00 58 01 ,985.66,34.4
Notification handle = 0x000e value: e8 2c 04 81 01 00 58 01 ,985.64,34.4
Notification handle = 0x000e value: 26 2d 01 81 01 00 58 01 ,985.61,34.4
Notification handle = 0x000e value: 65 2d 06 81 01 00 58 01 ,985.66,34.4
Notification handle = 0x000e value: a3 2d 0a 81 01 00 58 01 ,985.7,34.4
Notification handle = 0x000e value: e2 2d 05 81 01 00 58 01 ,985.65,34.4
Notification handle = 0x000e value: 20 2e 04 81 01 00 58 01 ,985.64,34.4
Notification handle = 0x000e value: 5f 2e 03 81 01 00 58 01 ,985.63,34.4
Notification handle = 0x000e value: 9d 2e 04 81 01 00 58 01 ,985.64,34.4
Notification handle = 0x000e value: dc 2e 04 81 01 00 58 01 ,985.64,34.4
Notification handle = 0x000e value: 1a 2f 05 81 01 00 58 01 ,985.65,34.4
Notification handle = 0x000e value: 59 2f 04 81 01 00 58 01 ,985.64,34.4
Notification handle = 0x000e value: 97 2f 0b 81 01 00 58 01 ,985.71,34.4
Notification handle = 0x000e value: d6 2f 05 81 01 00 58 01 ,985.65,34.4
Notification handle = 0x000e value: 14 30 09 81 01 00 58 01 ,985.69,34.4
Notification handle = 0x000e value: 53 30 06 81 01 00 58 01 ,985.66,34.4
Notification handle = 0x000e value: 91 30 03 81 01 00 58 01 ,985.63,34.4
